x,y
1.3,620.0
0.9,430.0
-0.0563669547494148,0.0112857862666677
1.0,480.0
0.0,0.0
0.9,430.0
0.0,0.0
0.0,0.0
0.9,430.0
0.9,430.0
1.0,480.0
0.0,0.0
1.3,620.0
1.3,620.0
1.3,620.0
1.3,620.0
1.3,620.0
1.044960907499242,479.9388511275813
1.0,480.0
1.0,480.0
1.0,480.0
0.9,430.0
1.0,480.0
0.0,0.0
0.9,430.0
1.0,480.0
1.0,480.0
1.0,480.0
1.0,480.0
0.0,0.0
0.0,0.0
1.3,620.0
1.0,480.0
0.8682499573051218,429.9437681252138
1.3,620.0
1.0,480.0
1.3,620.0
0.0,0.0
1.2944591992671073,620.03083980649
1.0065650716135284,430.10629739098886
-0.05713738807522264,0.03739140199799265
0.9283078773346664,480.04601654767504
-0.017353207313849147,0.0491975888920297
0.8712020662075585,430.0261901959555
0.0036425578167975873,0.05311305403454619
0.011604922839163756,-0.06838318597967595
0.870374884127752,430.0193077441184
0.9068439248491963,430.0036216762991
0.9701804524435468,479.99388152150306
0.012138760129305452,0.034625139487792486
1.3141643241523082,620.0198122741757
1.34377657676228,619.9345756742998
1.2713720973687468,620.0248373182023
1.2705050318718982,620.0635224427692
1.2928186658107668,619.989753721008
1.024543833822775,479.9574556380407
1.0153160149127118,479.9861820652657
0.9319145976433989,479.8826610532893
1.010533208587098,479.948595806157
0.777959439103079,430.02661753342556
0.9948546158702324,479.90352366366915
-0.009015603632726452,-0.06051573504490158
0.9568499301225073,429.9656912342565
1.011266255991656,479.88410288778414
0.9496952018122473,480.05758808112864
0.9755850408802308,480.008932307575
1.0570431000389713,479.97992744840116
0.03335452289127366,0.05397467731200483
0.06877324483447088,-0.017380045021118118
1.2880066764690823,619.9916355585652
0.9907543479498778,480.0005491090222
0.8347085596839517,429.9836493235589
1.290477236003351,620.0105471116397
1.0753735439028667,479.9383468246823
1.344572161848798,619.9509115199305
-0.05303022754307283,0.04841915239702804
0.0,0.0
-0.0563669547494148,0.0112857862666677
1.0,480.0
1.0,480.0
0.8682499573051218,429.9437681252138
0.0,0.0
1.0,480.0
0.8682499573051218,429.9437681252138
1.3,620.0
1.0,480.0
1.3,620.0
0.0,0.0
1.0,480.0
0.0,0.0
0.9,430.0
-0.0563669547494148,0.0112857862666677
1.3,620.0
1.0,480.0
0.0,0.0
0.9,430.0
1.3,620.0
1.3,620.0
1.0,480.0
1.3,620.0
1.3,620.0
1.0,480.0
1.0,480.0
0.9,430.0
1.0,480.0
0.9,430.0
0.9,430.0
0.0,0.0
0.0,0.0
0.0,0.0
0.9,430.0
1.3,620.0
1.3,620.0
1.3,620.0
0.9,430.0
0.0,0.0
1.044960907499242,479.9388511275813
0.0,0.0
0.0,0.0
0.9,430.0
0.9,430.0
1.0,480.0
0.0,0.0
0.0,0.0
0.9,430.0
0.0,0.0
1.3,620.0
1.044960907499242,479.9388511275813
1.3,620.0
1.0,480.0
1.0,480.0
